,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,53,29,.646,,108.0,105.4,2.25
1,Cleveland Cavaliers,51,31,.622,2.0,110.3,107.2,2.87
2,Toronto Raptors,51,31,.622,2.0,106.9,102.6,3.65
3,Washington Wizards,49,33,.598,4.0,109.2,107.4,1.36
4,Atlanta Hawks,43,39,.524,10.0,103.2,104.0,-1.23
5,Milwaukee Bucks,42,40,.512,11.0,103.6,103.8,-0.45
6,Indiana Pacers,42,40,.512,11.0,105.1,105.3,-0.64
7,Chicago Bulls,41,41,.500,12.0,102.9,102.4,0.03
8,Miami Heat,41,41,.500,12.0,103.2,102.1,0.77
9,Detroit Pistons,37,45,.451,16.0,101.3,102.5,-1.29
10,Charlotte Hornets,36,46,.439,17.0,104.9,104.7,-0.07
11,New York Knicks,31,51,.378,22.0,104.3,108.0,-3.87
12,Orlando Magic,29,53,.354,24.0,101.1,107.6,-6.61
13,Philadelphia 76ers,28,54,.341,25.0,102.4,108.1,-5.83
14,Brooklyn Nets,20,62,.244,33.0,105.8,112.5,-6.74
